factor,ic
momentum_accel,-0.2503172801367824
vol_of_vol_10d,-0.1387593363908027
momentum_diff,-0.1273942838020352
volatility_10d,-0.12368814918054413
momentum_10d,0.12092528582644249
trend_strength,-0.11905654790915042
parkinson_vol,-0.10956221674051006
return_skew,-0.10792355317144822
price_slope,0.1078393681387413
macd_hist,0.10234232500798164
volume_ratio_5d,-0.10162436583057108
price_efficiency,-0.09483763608884874
is_bullish,-0.09383454026173633
distance_high_10d,-0.09209375939074017
momentum_5d,-0.08333320071837003
kdj_k,0.07922803954748563
kdj_d,0.07922803954748563
price_position_20d,0.07922803954748563
kdj_j,0.07922803954748563
upper_shadow,0.07657764010879654
ma_20d,-0.07516623974204141
ma_deviation_20d,0.07516623749038136
ma_5d,0.0747967656207635
ma_deviation_5d,-0.07479676077683635
bb_width,-0.06832477746407974
lower_shadow,-0.06829520475034861
volume_ratio_20d,-0.06722583929374579
bb_position,0.06595622071246224
volume_ratio_10d,-0.06577518831621607
volume_trend_20d,-0.05574146273397271
macd,0.053713310850878854
obv_momentum,-0.04802076367595444
ma_bullish,0.046838535822076456
rsi_28,-0.04574841814682271
volume_trend_5d,-0.04367565636478135
rsi_14,0.042542979539773214
momentum_20d,0.0399648348161857
vol_of_vol_20d,0.03706281836897242
bb_squeeze,0.03541764788363584
volatility_20d,0.03183770950573279
distance_high_20d,-0.030599195136353754
momentum_60d,0.029037403766947988
vol_of_vol_60d,0.027245299146823415
macd_signal,0.026941245216133038
price_position_10d,0.02570376104465868
ma_deviation_10d,0.02265207514411374
ma_10d,-0.022652074191323205
distance_high_60d,0.019749421946450303
rsi_6,-0.01739462017384355
volume_trend_10d,-0.011029775802620021
price_position_60d,0.008743744319474854
body_size,-0.008143292898235994
ma_deviation_60d,0.0072821571287137775
ma_60d,-0.0072821571287137775
volatility_60d,-0.0024211089928700335
