code,report_year,roe,roe_diluted,eps,bvps,net_profit,net_profit_yoy,revenue_yoy,ocfps,gross_margin,asset_liability_ratio,roe_std_3y,prev_eps,prev_revenue_yoy
000027,2024,4.47,4.14,0.28,6.5,2005000000.0,-1.99,1.75,2.02,6.39,63.93,0.2953340857778227,0.27,7.94
000088,2024,9.55,7.55,0.3,3.44,1349000000.0,21.74,-11.16,0.05,174.12,24.34,2.030785288721801,0.26,11.99
000338,2024,13.69,13.15,1.31,9.93,11403000000.0,26.51,0.81,2.99,6.62,64.53,2.957510214127191,1.04,22.15
000408,2024,19.4,18.61,1.64,8.77,2580000000.0,-24.56,-37.79,0.58,79.04,8.2,12.97153036461003,2.18,-36.22
000422,2024,9.18,8.86,0.6108,6.8,653000000.0,44.32,-0.48,0.71,5.27,67.1,24.5678868986868,0.4688,-17.72
000423,2024,14.6,15.1,2.42,16.05,1557000000.0,35.29,25.57,3.37,26.3,21.05,2.8250939020775143,1.79,16.66
000498,2024,13.55,9.56,1.2281,9.61,2322000000.0,1.47,-2.3,-3.29,4.23,78.35,3.0319447371099764,1.3324,3.29
000581,2024,8.47,8.36,1.71,19.9,1660000000.0000002,-9.67,0.67,1.59,15.38,27.79,4.076079270846217,1.88,-12.86
000598,2024,11.5,10.99,0.6704,6.08,1996000000.0,8.28,11.9,1.23,22.71,59.64,0.17461067804945024,0.6204,5.99
000651,2024,25.42,23.42,5.83,24.53,32185000000.000004,10.91,-7.31,5.24,17.11,61.55,0.9557196241576291,5.22,7.82
000672,2024,7.09,7.01,0.6621,9.23,627000000.0,-15.7,-14.83,1.07,10.87,45.07,1.78982929043216,0.7813,-10.34
000690,2024,5.85,5.78,0.32,5.61,706000000.0,-20.6,-23.08,0.77,8.93,42.43,2.5023899687210136,0.41,9.13
000719,2024,9.19,8.96,1.01,11.23,1030000000.0000001,-25.84,0.24,1.34,10.57,36.45,1.7297591354482469,1.36,2.12
000726,2024,4.39,4.35,0.5,11.46,409999999.99999994,1.7,2.17,1.52,7.0,29.49,3.2597648176926306,0.47,-14.08
000800,2024,2.45,2.37,0.1266,5.35,622000000.0,-22.78,-8.93,-1.19,1.13,63.44,0.6800490178411162,0.1805,66.71
