fold,model,train_size,test_size,rmse,ic
0,Ridge,6280,6280,9.602714789892437,0.10401560782285817
0,Lasso,6280,6280,9.688540053628309,0.05350171548953439
1,Ridge,12560,6280,8.93495137349446,0.046921335910355376
1,Lasso,12560,6280,8.892430454935083,0.061641033551834166
2,Ridge,18840,6280,9.197416468962164,0.3528034850496496
2,Lasso,18840,6280,9.179282177425954,0.3520105100626787
3,Ridge,25120,6280,6.799564059020251,-0.14162735379829205
3,Lasso,25120,6280,6.780349493009944,-0.14408105453449174
4,Ridge,31400,6280,7.235617934408399,0.14403562739346182
4,Lasso,31400,6280,7.222086397446427,0.14709084142184797
