factor,period,ic_mean,ic_std,icir,ic_positive_ratio,p_value,long_short_return
momentum,5,0.002234075168528949,0.14319803221994945,0.015601297964049198,0.5223076923076924,0.5740111022192262,-0.0005122507568602276
momentum,10,0.004062202487172474,0.1428603189850903,0.028434785222595144,0.522007722007722,0.3065642291727285,-0.001147206425777978
momentum,20,0.004312498540272144,0.14454957957055736,0.029834044160378433,0.5276264591439689,0.2852518172024728,-0.0019398252906756546
roe,5,-0.0038965001385169464,0.14354907599176459,-0.027144028002942275,0.5,0.32810053582060794,-0.0006226578213515645
roe,10,-0.005416826189935434,0.14305973939964617,-0.037864085400038355,0.4996138996138996,0.17341761446693288,-0.0009980378820543011
roe,20,-0.014789953335419768,0.14413916932503146,-0.1026088425837162,0.488715953307393,0.00024594985280866253,-0.0032619625749809597
dividend_yield,5,-0.0030424231230953905,0.14059883834901643,-0.021639034566864713,0.4907692307692308,0.4355880759458449,4.048315935471357e-05
dividend_yield,10,-0.00804597978187414,0.13981321827025842,-0.05754806220339834,0.47876447876447875,0.03863807575047408,-0.0005596566054704862
dividend_yield,20,-0.010458284481107616,0.13790058283559306,-0.07583930586846122,0.466147859922179,0.0066652513411617,-0.000653509304011606
pe_value,5,0.0034019761750854194,0.13463081379347241,0.02526892677261945,0.5176923076923077,0.36260470454354177,-0.00018783896458522863
pe_value,10,0.0035782282024779013,0.13515927287031088,0.02647415990400682,0.5235521235521235,0.34110542870075156,0.0003065045099947455
pe_value,20,0.0012246205875346265,0.14161578616228435,0.00864748641886064,0.5182879377431907,0.7567139684697057,0.00036956706622387855
profit_growth,5,0.0027938313787053276,0.13880072269595178,0.020128363343073656,0.5115384615384615,0.4683009880921196,0.00022825607352069166
profit_growth,10,0.004365224081910756,0.13332107355447997,0.03274219120450573,0.5081081081081081,0.2390893156874271,0.0004348767739586064
profit_growth,20,0.003606298550548625,0.13366328818220352,0.026980471598399464,0.4972762645914397,0.33383119546625073,0.0013437871244006763
market_cap,5,-0.006266137224120415,0.14527304634880425,-0.043133515690689524,0.48538461538461536,0.12028429386483552,-0.00031263207238278236
market_cap,10,-0.01356051300829212,0.1391679122610004,-0.09743993991129404,0.4555984555984556,0.00047197418771183263,-0.0015748038300130492
market_cap,20,-0.01696864271000229,0.13340806590004464,-0.12719352908328618,0.4599221789883268,5.663910787752644e-06,-0.00343644266982322
