industry,count,avg_mv,avg_roe,avg_pe,avg_revenue_yoy,pct
5G概念,16,30531239.9260375,12.091901749486238,50.99626428571429,-12.433239783083382,6.896551724137931
中特估,9,59395071.172644444,8.914411217209562,16.76361111111111,-25.21334174822803,3.8793103448275863
PPP概念,9,4444905.014144445,6.483924993161428,10.49158888888889,-34.05958010581229,3.8793103448275863
一带一路,8,2875440.0424875002,6.407339524829396,19.9506875,-23.25913183415891,3.4482758620689653
未知,8,3971995.4029125,6.398001281268974,19.233514285714286,-21.590135152181137,3.4482758620689653
中俄贸易,8,2822168.9705,8.089605566556283,11.3984125,-25.547313879381832,3.4482758620689653
创新药,7,985915.586257143,14.845668658952754,17.665475,-21.63010188322023,3.0172413793103448
IP经济,7,2782673.4313857146,15.669505320811016,17.686485714285716,-33.41650140815727,3.0172413793103448
乡村振兴,7,3042829.4542,12.730516794450896,19.150557142857142,-20.327739918760987,3.0172413793103448
冷链物流,6,1719373.4392833335,6.665194835574638,18.2211,-17.562512999154375,2.586206896551724
DeepSeek,6,9245096.717866667,17.069829639004343,38.338566666666665,-17.424909412674157,2.586206896551724
光伏,6,5545939.954566666,8.081976190003033,21.912979999999997,-13.405809822173522,2.586206896551724
人形机器,6,1130106.1857666667,6.798584146313215,63.540319999999994,-21.407972504698474,2.586206896551724
含H股,6,11484531.890866667,10.436375466104362,18.4051,-17.501582701223608,2.586206896551724
BIPV概念,5,1591140.3378599999,6.096470948117927,17.488599999999998,-33.65824107705279,2.1551724137931036
AI智能体,5,4820808.93698,4.98606905329815,22.03105,-26.409671670476,2.1551724137931036
临界发电,5,5820750.39796,10.482490227217959,11.26316,-20.022780336598185,2.1551724137931036
储能,4,4754602.494275,8.746484966556745,32.844699999999996,-18.907148520352685,1.7241379310344827
低空经济,4,2753587.2609,7.526951867376834,14.670133333333334,-18.792947111421807,1.7241379310344827
互联金融,4,1651148.8348,3.3492047234897426,77.32445,-54.31742281648511,1.7241379310344827
口罩防护,3,2079106.9167333331,7.0794928788828555,22.099733333333333,-24.392225151218373,1.293103448275862
基因概念,3,1537163.2060333332,8.018681325304494,24.21635,-28.121039514571965,1.293103448275862
3D打印,3,2689269.5294333333,6.431503511884912,67.41550000000001,-18.469571310985422,1.293103448275862
OLED概念,3,3766435.8071999997,12.647093743822307,50.04583333333333,-19.790211676920798,1.293103448275862
AIGC概念,3,638970.8605000001,-9.927398620908653,10.0112,-32.95527249071479,1.293103448275862
AI手机PC,3,3623129.4793000002,7.248406227224372,23.98535,-19.225609156784852,1.293103448275862
MCU芯片,3,8054057.0325,10.589429719097973,41.2087,-15.2225244300697,1.293103448275862
NMN概念,3,860426.7789333333,4.845512289695137,42.19773333333334,-24.59119866006811,1.293103448275862
创投概念,2,2146222.2368,6.015997252110974,17.94615,-39.54147571017465,0.8620689655172413
数据中心,2,1334951.3376,5.007915032522735,57.8725,-8.579040889012923,0.8620689655172413
CPO概念,2,1217131.15005,10.385695410317398,86.16815,6.107409599408881,0.8620689655172413
免税概念,2,1745661.5282,5.041531671073969,15.14385,-30.47720815520418,0.8620689655172413
ETC概念,2,1030193.9753,0.693164117444272,15.7326,-30.97950277518131,0.8620689655172413
化肥概念,2,7710629.8048,11.815995988622703,37.84325,-12.639275747050343,0.8620689655172413
三代半导,2,842496.2436500001,12.018337733336965,47.484350000000006,32.345616597971436,0.8620689655172413
人脑工程,2,1845608.25415,6.830319256246671,17.6603,-19.489994837979257,0.8620689655172413
含可转债,2,16916954.40245,5.96049523372726,8.70815,-26.614182078880624,0.8620689655172413
人工智能,2,1604584.94475,16.0621671754734,30.711199999999998,-17.23688907749992,0.8620689655172413
婴童概念,2,356230.7668,5.182245975011242,138.0178,-15.4674540444989,0.8620689655172413
固态电池,2,3487526.6973,-2.8777144771504215,53.7431,-28.67536333041896,0.8620689655172413
POE胶膜,2,9412387.8667,12.601958880647985,14.735800000000001,-6.380869239814906,0.8620689655172413
6G概念,2,580125.0,5.145996783544,107.05359999999999,-20.083098284503947,0.8620689655172413
一体压铸,2,822843.7423,11.70157209172041,23.05135,-15.05940323363136,0.8620689655172413
东数西算,2,1943057.4150999999,14.88521488114809,42.5625,-11.787822216151467,0.8620689655172413
C2M概念,2,714065.1899,17.063066757842485,8.811,-26.678496983356986,0.8620689655172413
工业互联,1,550563.9612,,21.0016,,0.43103448275862066
工业母机,1,1337765.0712,,63.3081,,0.43103448275862066
小米概念,1,6005939.1895,7.242338949365576,8.698,-22.50433257459078,0.43103448275862066
工业气体,1,806539.4088,4.619287960821699,12.1387,-33.64889468242048,0.43103448275862066
数字货币,1,1073302.2831,7.904730576765679,5.3504,-23.45573489053279,0.43103448275862066
风电,1,1423823.456,,65.0131,,0.43103448275862066
无人驾驶,1,515950.0,10.294081891971423,20.4914,-16.040935154155267,0.43103448275862066
智慧城市,1,4815232.5417,5.8738266781935025,14.5934,-40.89643294200791,0.43103448275862066
知识付费,1,1288558.3073,9.846882398902261,11.3911,-31.496398533269776,0.43103448275862066
智能机器,1,449103.5661,,19.0673,-27.386066589486767,0.43103448275862066
智能电网,1,3808478.2055,9.641295155777645,16.1745,-32.0930849769367,0.43103448275862066
核电核能,1,1137343.2158,8.18832031340663,8.617,-26.50545955112189,0.43103448275862066
预制菜,1,1508172.1696,7.573457054411005,18.8158,-16.27684241266092,0.43103448275862066
白酒概念,1,185999695.034,25.13975013241249,20.6604,-24.83654486000415,0.43103448275862066
锂电池,1,691888.4201,,87.0429,,0.43103448275862066
稀缺资源,1,6717776.1398,14.564139872529072,15.7765,-19.20056821789634,0.43103448275862066
家庭医生,1,316349.3736,,24.7338,,0.43103448275862066
充电桩,1,1944926.16,6.497036295738787,11.887599999999999,-41.26447047529537,0.43103448275862066
大飞机,1,1212800.0,4.976456051462262,13.4529,-27.924216813460156,0.43103448275862066
商业航天,1,7694080.0445,7.252221062281153,15.05,-21.36381809684822,0.43103448275862066
EDA概念,1,2037374.2689,3.091718744722065,7.9861,-50.01884775049533,0.43103448275862066
PCB概念,1,7091818.1848,8.732758534115389,120.2293,16.74276168743074,0.43103448275862066
